989578,READABOUT SCHOLAR SRI/RED 100,Licenses,700019,100,
969060,R180 V1.6 A NEW SOFTWARE PACK,New Content Install,10000004,0,1
969061,R180 V1.6 B NEW SOFTWARE PACK,New Content Install,10000005,0,1
969062,R180 V1.6 C NEW SOFTWARE PACK,New Content Install,10000006,0,1
988038,R180 EE C NEW SOFTWARE PACK ,New Content Install,11000011,0,1
988037,R180 EE B NEW SOFTWARE PACK ,New Content Install,11000010,0,1
988035,R180 EE A NEW SOFTWARE PACK ,New Content Install,11000009,0,1
999997,FastMath,Licenses,10005069,60,1
999998,SRI,Licenses,10000016,60,1
999999,SRC,Licenses,10000015,60,1
