0156,FOREIGN/WORLD LANGUAGE                                                     
0157,FOREIGN LANG DEPT CHAIRPERSON                                              
0158,JAPANESE                                                                   
0159,FRENCH                                                                     
0160,GERMAN                                                                     
0161,SPANISH                                                                    
0162,LATIN                                                                      
0163,RUSSIAN                                                                    
0164,A P FOREIGN LANGUAGE                                                       
0167,AMERICAN SIGN LANGUAGE                                                     
0168,VOCATIONAL EDUCATION COUNSELOR                                             
0169,TESTING COUNSELOR                                                          
0172,SCHOOL PSYCHOLOGIST                                                        
0173,GUIDANCE DEPT CHAIRPERSON                                                  
0174,GUIDANCE COUNSELOR                                                         
0175,SCHOOL NURSE                                                               
0176,SCHOOL SOCIAL WORKER                                                       
0178,IN-SCHOOL SUSPENSION DIRECTOR                                              
0180,LIBRARIAN/MEDIA SPECIALIST                                                 
0181,LIBRARY AIDE                                                               
0182,MATH DEPARTMENT CHAIRPERSON                                                
0183,AP ALGEBRA TEACHER                                                         
0184,PRE-ALGEBRA TEACHER                                                        
0185,ALGEBRA TEACHER                                                            
0186,AP STATISTICS TEACHER                                                      
0187,AP TRIGONOMETRY TEACHER                                                    
0188,AP CALCULUS TEACHER                                                        
0189,PRE-CALCULUS TEACHER                                                       
0190,TRIGONOMETRY TEACHER                                                       
0191,CALCULUS TEACHER                                                           
0192,BUSINESS/CONSUMER MATH TEACHER                                             
0193,REMEDIAL MATH TEACHER                                                      
0195,GEOMETRY TEACHER                                                           
0196,STATISTICS/PROBABILITY TEACHER                                             
0197,MATH                                                                       
0199,MUSIC DEPARTMENT CHAIRPERSON                                               
0200,MUSIC                                                                      
0201,CHORAL DIRECTOR                                                            
0202,MUSIC THEORY                                                               
0203,BAND DIRECTOR                                                              
0204,INSTRUMENTAL MUSIC                                                         
0205,ORCHESTRA DIRECTOR                                                         
0206,A P MUSIC THEORY                                                           
0207,TECH PREP COORDINATOR                                                      
0208,VOCATIONAL EDUCATION                                                       
0209,VOC ED DEPARTMENT CHAIRPERSON                                              
0210,HEALTH OCCUPATIONS                                                         
0211,DISTRIBUTIVE EDUCATION                                                     
0212,MEDIA COMMUNICATIONS                                                       
0213,CHILD CARE OCCUPATIONS                                                     
0214,FOOD SERVICES                                                              
0215,TRADE/INDUSTRIAL ARTS                                                      
0216,AGRICULTURAL EDUCATION                                                     
0217,AUTO MECHANICS/REPAIR                                                      
0218,CONSTRUCTION TRADES                                                        
0219,COSMETOLOGY                                                                
0220,DRAFTING                                                                   
0221,ELECTRONICS                                                                
0222,HORTICULTURE                                                               
0223,TECHNICAL EDUCATION                                                        
